departamento_id,nombre
85,"El Dorado"
85,"Fortín Acha"
85,"Juan Bautista Alberdi (Est. Alberdi)"
85,"Leandro N. Alem"
85,Vedia
86,Arenaza
86,Bayauca
86,Bermúdez
86,"Carlos Salas"
86,"Coronel Martínez de Hoz (Ap. Kilómetro 322)"
86,"El Triunfo"
86,"Las Toscas"
86,Lincoln
86,Pasteur
86,Roberts
87,"Arenas Verdes"
87,"Licenciado Matienzo"
87,Lobería
87,Pieres
87,"San Manuel"
87,Tamangueyú
88,"Antonio Carboni"
88,Elvira
88,"Laguna de Lobos"
88,Lobos
88,"Salvador María"
89,"Lomas de Zamora"
90,"Barrio Las Casuarinas"
90,"Carlos Keen"
90,Cortines
90,"José María Jauregui (Est. Jáuregui)"
90,"Lezica y Torrezuri"
90,Luján
90,Olivera
90,"Open Door (Est. Dr. Domingo Cabred)"
90,Torres
91,Atalaya
91,"General Mansilla (Est. Bartolomé Bavio)"
91,"Los Naranjos"
91,Magdalena
91,"Roberto J. Payró"
91,Vieytes
92,"Las Armas"
92,Maipú
92,"Santo Domingo"
93,"Malvinas Argentinas"
94,"Coronel Vidal"
94,"General Pirán"
94,"La Armonía"
94,"Mar Chiquita"
94,"Mar de Cobo"
94,"Santa Clara del Mar"
94,Vivoratá
95,"Barrio Santa Rosa"
95,"Marcos Paz"
96,Gowland
96,Mercedes
96,"Tomás Jofré"
97,Merlo
98,Abbott
98,"San Miguel del Monte (Est. Monte)"
98,"Zenón Videla Dorna"
99,"Balneario Sauce Grande"
99,"Monte Hermoso"
100,Moreno
101,Morón
102,"José Juan Almeyra"
102,"Las Marianas"
102,Navarro
102,"Villa Moll (Est. Moll)"
103,Claraz
103,"Costa Bonita"
103,"Juan N. Fernández"
103,"Necochea - Quequén"
103,"Nicanor Olivera (Est. La Dulce)"
103,"Ramón Santamarina"
104,"12 de Octubre"
104,"9 de Julio"
104,"Alfredo Demarchi (Est. Facundo Quiroga)"
104,"Carlos María Naón"
104,Dudignac
104,"La Aurora (Est. La Niña)"
104,"Manuel B. Gonnet (Est. French)"
104,"Marcelino Ugarte (Est. Dennehy)"
104,Morea
104,Norumbega
104,Patricios
104,"Villa General Fournier (Est. 9 de Julio Sud)"
105,Blancagrande
105,"Colonia Hinojo"
105,"Colonia Nievas"
105,"Colonia San Miguel"
105,Espigas
105,Hinojo
105,Olavarría
105,Recalde
105,"Santa Luisa"
105,"Sierra Chica"
105,"Sierras Bayas"
105,"Villa Alfredo Fortabat"
